file,folder,data_shape,times_shape,n_channels,n_samples,time_samples,times_match,time_start,time_end,sampling_rate,contains_nan,nan_count,std_first_channel,other_data_exists
258301A01.mat,258301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,24.109601974487305,True
258301C01.mat,258301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,22.896644592285156,True
258301L01.mat,258301,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,26.71637535095215,True
258401A01.mat,258401,"(16, 8000)","(8000,)",16,8000,8000,True,-2000.0,1999.5,2000,False,0,29.515514373779297,True
258401C01.mat,258401,"(16, 8000)","(8000,)",16,8000,8000,True,-2000.0,1999.5,2000,False,0,30.358936309814453,True
258401L01.mat,258401,"(16, 8000)","(8000,)",16,8000,8000,True,-2000.0,1999.5,2000,False,0,28.87941551208496,True
258601A01.mat,258601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,40.85369873046875,True
258601C01.mat,258601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,21.00896644592285,True
258601L01.mat,258601,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,34.86094284057617,True
258701A01.mat,258701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,47.84955978393555,True
258701C01.mat,258701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,48.376338958740234,True
258701L01.mat,258701,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,24.92258071899414,True
258801A01.mat,258801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,42.95088577270508,True
258801C01.mat,258801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,44.547386169433594,True
258801L01.mat,258801,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,53.70806121826172,True
258901A01.mat,258901,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,36.005001068115234,True
258901C01.mat,258901,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,44.53547286987305,True
258901L01.mat,258901,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,68.05549621582031,True
259001A01.mat,259001,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,19.593812942504883,True
259001C01.mat,259001,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,39.974891662597656,True
259001L01.mat,259001,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,49.212890625,True
259101A01.mat,259101,"(18, 8000)","(8000,)",18,8000,8000,True,-2000.0,1999.5,2000,False,0,23.959980010986328,True
