file,channels,labels
2511401C01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2511401L01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2511501A01.mat,17,"Cz,CPz,F8,T8,TP10,P8,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2511501C01.mat,17,"Cz,CPz,F8,T8,TP10,P8,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2511501L01.mat,17,"Cz,CPz,F8,T8,TP10,P8,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2511601A01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2511601C01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2511601L01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2511701A01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2511701C01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2511701L01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2511801A01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2511801C01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2511801L01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2511901A01.mat,17,"Cz,CPz,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2511901C01.mat,17,"Cz,CPz,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2511901L01.mat,17,"Cz,CPz,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512001A01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512001C01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512001L01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512101A01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512101C01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512101L01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512201A01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512201C01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512201L01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512301A01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
2512301C01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
