window_idx,start_sec,end_sec,n_beats,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_pNN50
0,0.0,60.0,111,540.290909090909,47.405211159085994,46.832514385517726,3.6363636363636362
1,60.0,120.0,116,516.6782608695652,30.05829068749847,14.580688983311802,0.0
2,120.0,180.0,115,521.5087719298245,24.71724904289328,15.512484267247233,1.7543859649122806
3,180.0,240.0,117,513.8448275862069,49.11541039460919,63.58752954033895,4.310344827586207
4,240.0,300.0,118,509.0769230769231,25.650890233309116,10.218306763033114,0.0
5,300.0,360.0,114,526.1592920353983,21.827475465765545,13.248989179771952,0.8849557522123894
6,360.0,420.0,119,502.3728813559322,19.093918399112248,12.13457305585422,0.847457627118644
7,420.0,480.0,116,517.704347826087,24.99577996419209,9.817635403307698,0.0
8,480.0,540.0,119,504.50847457627117,27.055102292291497,10.135829652033559,0.0
9,540.0,600.0,119,505.2881355932203,19.20741563297095,8.674552625228765,0.0
10,600.0,660.0,121,494.5833333333333,14.02134227581961,6.1384584603064285,0.0
11,660.0,720.0,121,496.1166666666667,21.225156840720054,7.514691493021794,0.0
12,720.0,780.0,117,513.8448275862069,26.30543122900531,8.767529025751287,0.0
13,780.0,840.0,118,507.43589743589746,14.15881875514741,7.687876707899397,0.0
14,840.0,900.0,114,525.6460176991151,23.904915944656917,11.220198623146434,0.0
15,900.0,960.0,121,495.8833333333333,32.2274436350341,8.037726172046838,0.0
16,960.0,1020.0,118,508.4957264957265,14.26330227978607,7.11724472066214,0.0
17,1020.0,1080.0,117,512.1379310344828,23.548985596808212,7.969507103846565,0.0
18,1080.0,1140.0,115,523.8070175438596,15.067915390394216,7.216009732544503,0.0
19,1140.0,1200.0,116,515.4608695652174,21.01348228718207,9.602631218358304,0.0
20,1200.0,1260.0,116,518.0869565217391,8.646635302792443,7.118052168020874,0.0
21,1260.0,1320.0,121,496.53333333333336,20.1985661082447,9.278148178028058,0.0
22,1320.0,1380.0,117,511.48275862068965,15.592909625362022,6.938236839052311,0.0
23,1380.0,1440.0,116,514.8173913043478,10.279926452648072,6.646460606705739,0.0
24,1440.0,1500.0,117,513.0,22.177936548859034,8.773477819170585,0.0
25,1500.0,1560.0,118,509.28205128205127,10.317248826221801,6.943118647389236,0.0
26,1560.0,1620.0,117,513.8103448275862,17.230869060372786,7.34491838531624,0.0
27,1620.0,1680.0,115,522.3684210526316,10.331036800760508,8.222567693186026,0.0
28,1680.0,1740.0,114,523.3451327433628,8.65382854115575,9.3865405159272,0.0
29,1740.0,1800.0,118,511.55555555555554,11.700607444034132,8.075078733469052,0.0
30,1800.0,1860.0,120,499.14285714285717,19.62283593348931,20.083723066289025,3.361344537815126
31,1860.0,1920.0,116,515.4608695652174,10.039646806992433,5.767422118653779,0.0
32,1920.0,1980.0,122,494.21487603305786,16.457625695286993,20.043286490327212,5.785123966942149
33,1980.0,2040.0,119,501.64406779661016,5.201126478459929,4.574174999174925,0.0
34,2040.0,2100.0,119,506.864406779661,6.201619934825257,5.1805025661229855,0.0
35,2100.0,2160.0,118,506.4273504273504,12.213133292312715,6.299972632671811,0.0
36,2160.0,2220.0,119,504.66101694915255,6.06548359693335,4.760952285695233,0.0
37,2220.0,2280.0,116,515.704347826087,9.007768492323116,6.688560540599386,0.0
38,2280.0,2340.0,115,522.6491228070175,133.46001240344668,190.57955391825593,1.7543859649122806
39,2340.0,2400.0,120,501.109243697479,19.10133100161684,7.530728013066177,0.0
40,2400.0,2460.0,123,486.44262295081967,12.93470517723339,6.870706773705885,0.0
41,2460.0,2520.0,125,481.48387096774195,8.545891297256016,4.908926662276567,0.0
42,2520.0,2580.0,124,484.7967479674797,18.40837271621014,13.047203079461946,1.6260162601626018
43,2580.0,2640.0,120,499.69747899159665,7.20470023353251,4.815230075288833,0.0
44,2640.0,2700.0,120,500.672268907563,22.64879584620357,6.663841209168849,0.0
45,2700.0,2760.0,127,472.23809523809524,17.56288293939401,6.178672996687881,0.0
46,2760.0,2820.0,129,465.5625,15.18378227236179,7.485418896961754,0.0
47,2820.0,2880.0,132,453.8167938931298,44.36384555827787,53.91474751865208,5.343511450381679
48,2880.0,2940.0,129,464.84375,9.18612227872485,4.997637237010696,0.0
49,2940.0,3000.0,126,476.064,16.96283603798648,6.8131750923273415,0.0
50,3000.0,3060.0,127,471.6507936507937,19.054581584623666,6.587260432076449,0.0
51,3060.0,3120.0,129,465.3125,16.641542743444486,13.009990104519105,1.5625
52,3120.0,3180.0,131,457.0923076923077,27.39785714300705,11.664562379441243,1.5384615384615385
53,3180.0,3240.0,131,457.75384615384615,11.893625117085215,4.958744527279229,0.0
54,3240.0,3300.0,128,470.5196850393701,16.848932137845615,6.563487265117917,0.0
55,3300.0,3360.0,126,475.968,15.89478307597364,7.577555993769342,0.0
56,3360.0,3420.0,126,477.696,13.900698520392373,5.529976958477343,0.0
